场次名称,自动编号,类别,归属组织,是否需要面试,开始时间,结束时间,招募对象,正文,问卷链接
学生会公关组 26秋招,REC-0002,定期招募,昆山康桥学生会,是,2026年9月7日,2026年9月20日,G7-G11,昆山康桥学生会公关组 2026 秋季招募正式启动！本次招募面向全校 G7（IB-G6）至 G11 年级，寻找热爱媒体、影像创作与校园传播的你。成功入选者将深度参与航拍、摄像、摄影及摄影指导等专业项目，在实践中搭建技能发展的优质平台。问卷报名时间为 2026 年 9 月 7 日至 9 月 20 日。这是一个拓展视野、丰富校园经历的绝佳机会，期待你的加入！,N/A
KSVG 26综合春季招募,REC-0003,长期招募,KSVG,是,2026年5月13日,2026年9月20日,G9-G12,KSVG2026秋季招募，本次职务包含“网络运营岗位”、“见习摄影师岗位”、“摄影指导岗位”和“社媒运营岗位”。入选后有机会与校内、校外其他组织协作（包含学生会、大使团、大使团）。,https://v.wjx.cn/vm/P0vQujY.aspx# 
康桥银行26秋季招募,REC-0007,长期招募,康桥银行,是,2026年5月20日,2026年5月24日,G7-G11,康桥银行组织首次对外招募正式成员，有活动策划、行政管理和金融统计经验的同学优先。本次开放G7（IB-G6）至G11报名。,https://v.wjx.cn/vm/OruUsZ7.aspx# 
